-11,11,5,9,10,-13,-5,-6,-1,12,-2,-6,6,16,2,18,-4,8,-3,-29,2,5,1,-12,8,-7,-4,9
11,-26,11,5,-6,20,-40,5,-1,5,-81,-9,7,-29,-6,29,6,7,-5,-19,-127,6,6,11,-60,-8,-4,-68
8,-28,-3,3,-5,10,-65,9,6,9,-17,12,-3,14,2,-1,11,11,4,-31,-60,8,3,7,-43,17,12,19
-4,9,-10,6,-1,-3,7,9,-9,-8,14,-3,7,14,2,1,-7,3,9,7,9,2,4,2,5,-21,-2,-12
0,18,-9,3,-1,-7,-9,4,-5,-8,-42,8,7,-27,-6,18,5,11,-5,-22,58,-2,10,0,-13,46,-7,92
-11,3,-1,-5,1,17,-12,10,2,4,5,14,-9,-8,-8,7,-2,-5,3,14,8,1,-3,4,14,6,2,-5
7,-18,5,-1,-10,24,-57,6,-9,-9,-53,2,4,-22,4,20,0,9,-4,-17,-82,-3,-1,-2,-89,-19,2,-44
-6,19,-6,-8,11,22,-127,3,-7,1,-124,-10,-5,-23,11,-7,2,9,2,28,-127,12,0,-6,-38,-11,1,21
-9,-3,0,10,4,1,-15,-6,5,-1,5,0,6,2,0,10,2,9,5,6,8,-6,11,-5,-9,14,2,14
-7,-2,-7,-7,-3,-9,-8,-11,6,-5,-7,7,-4,-4,11,-4,-3,11,5,7,6,-10,-6,9,-8,-4,8,-4
7,74,-3,-12,5,3,-120,-9,-2,7,-16,-46,3,-23,7,29,10,2,4,0,35,11,9,2,28,41,-3,11
8,-9,10,-2,-8,17,-6,-4,3,-8,2,-5,-4,-24,-10,-1,-4,5,-12,10,16,-9,-10,-2,-4,21,11,39
-4,-30,-5,-5,7,26,-126,1,5,10,-24,9,4,-9,-2,13,0,-11,4,-40,-127,10,-7,-6,-29,22,-1,8
-8,4,-5,6,3,9,53,-8,4,4,3,3,-8,45,2,-38,-11,9,-8,8,-16,-8,-8,-9,-9,-21,1,-59
-10,7,6,-9,11,-5,7,-11,2,4,3,21,0,31,-5,-5,-2,-2,-3,-1,0,3,7,2,4,-10,-10,-35
-9,16,6,-5,-8,-61,-11,7,-6,-3,38,-40,-10,-82,-5,-8,10,10,10,-39,-1,-7,5,-6,-12,-31,7,-117
-2,-5,10,10,-1,16,0,9,-3,0,-11,2,6,18,-4,-2,3,8,-8,1,14,-9,-10,4,-37,-1,-3,9
3,38,4,8,-4,-88,-42,2,-3,5,28,-19,-6,-127,5,4,-12,-4,-1,-67,-31,8,1,-10,-7,-26,11,-127
5,-2,-2,-10,-7,-39,-30,7,8,10,33,33,-11,-52,5,-6,9,-3,10,-38,38,-3,10,10,-8,14,8,-100
7,-11,-7,-10,0,-32,31,10,-3,8,-41,10,0,0,-7,11,-4,0,10,3,12,10,12,-8,-35,-1,1,-7
-10,-2,7,5,6,-10,-19,-2,11,10,-12,-31,-10,-11,-1,-12,-2,-11,-11,-3,-8,11,-11,7,11,-21,0,1
